Hue mean,Yellow,Red,Green,Blue,Saturation,Biome name
29.7162,9419,0,86,463,242.9426,field
27.4072,9438,0,111,159,236.7245,field
28.2405,9488,0,25,278,230.0639,field
24.2276,8628,0,0,0,246.7756,field
24.626,9392,0,0,0,248.3817,field
29.1752,9420,0,27,461,238.3836,field
24.7666,9339,10,0,0,249.4581,field
25.0567,9774,0,0,0,247.1792,field
25.2731,9198,2,6,84,242.2,field
25.2239,9565,38,11,10,246.774,field
24.6925,9644,2,31,0,248.1619,field
24.6358,9748,0,0,0,248.9973,field
24.4677,9480,26,0,0,243.4392,field
28.7502,9591,0,6,290,243.5917,field
25.7711,9422,0,0,0,238.6808,field
25.9186,9722,0,1,0,240.6115,field
29.8427,9488,2,22,413,215.8453,field
26.074,9611,0,0,0,232.7907,field
26.1245,9991,0,0,0,225.9698,field
27.6908,9376,3,11,243,224.9548,field
26.5,9615,45,21,32,234.0146,field
25.4199,9652,0,40,0,240.8231,field
25.7154,9954,0,0,0,230.8123,field
25.9793,9894,19,0,0,238.7161,field
27.0625,9585,0,83,106,238.3403,field
23.2818,9815,1,0,0,252.0125,field
28.7036,9080,0,46,643,235.6348,field
23.4413,9440,40,133,0,248.8885,field
23.3668,9377,0,3,26,247.8738,field
24.1972,8879,8,6,166,247.1176,field
24.0034,9181,120,3,4,238.9084,field
22.7806,9373,19,0,0,246.8744,field
25.6041,9019,11,8,313,243.0108,field
25.9065,9929,0,16,0,241.9175,field
25.4378,9246,4,1,0,238.4644,field
26.7345,9504,0,342,0,249.6526,field
25.6778,9956,0,0,0,232.7924,field
25.3551,9389,0,0,0,240.0816,field
26.5084,9964,0,1,0,241.9577,field
26.0945,9592,0,22,0,238.6525,field
26.256,9705,9,0,0,246.3719,field
26.2187,9974,0,0,0,242.7714,field
26.3633,9826,0,11,0,230.1543,field
26.4069,9762,8,52,0,240.8143,field
26.2647,9633,0,0,0,239.1081,field
29.9021,9186,0,47,504,229.5928,field
26.3294,9928,0,0,0,243.2339,field
24.8386,8842,2,1,0,231.5623,field
25.202,8765,0,5,0,224.3061,field
24.6173,8696,3,9,0,215.0947,field
25.2316,8278,0,358,0,220.1292,field
25.4516,8684,0,20,48,221.5595,field
24.8286,8809,5,12,0,217.1013,field
25.4948,8254,0,424,0,220.3741,field
23.9551,8276,28,2,0,224.8993,field
24.7609,7933,118,34,161,222.8561,field
30.0417,7778,3,60,695,213.4279,field
25.9795,9983,0,0,0,229.2977,field
24.9994,8059,3,41,153,224.4743,field
24.4767,8615,8,3,0,221.7544,field
25.2194,8844,5,3,0,228.0144,field
24.2918,8358,9,19,0,221.8099,field
23.5332,8004,38,0,0,225.7297,field
23.9016,7965,75,166,0,226.9154,field
23.4176,8140,110,8,0,220.5579,field
23.6737,7732,108,199,0,224.8107,field
23.6936,8187,32,9,0,228.8527,field
23.5537,8269,139,12,0,221.3577,field
26.4322,9653,0,184,0,233.377,field
23.6686,7992,58,49,7,226.3773,field
23.3837,7983,122,23,0,225.0147,field
24.3645,8184,140,115,0,206.6208,field
24.9105,8650,8,13,0,216.3489,field
22.4211,7259,47,225,0,230.2792,field
22.7353,6846,258,11,134,219.106,field
21.5131,7241,219,0,0,233.0192,field
20.2452,6239,707,1,1,229.8708,field
24.5811,8796,0,0,0,219.1029,field
24.4943,8310,11,12,3,217.6081,field
25.9497,9823,0,26,0,232.211,field
25.2424,8434,1,141,0,223.9152,field
25.3041,8606,3,55,0,226.8997,field
24.7136,8527,10,8,0,217.1859,field
24.9716,8854,6,3,0,232.6641,field
24.2754,8303,0,0,0,232.2472,field
24.7112,8854,5,0,0,229.9474,field
24.2083,8297,0,2,0,230.2831,field
24.4945,8684,4,7,0,230.1311,field
25.5351,8536,1,16,88,217.957,field
25.5517,9375,0,0,0,248.948,field
26.9235,9223,0,636,4,247.0894,field
26.573,9498,0,300,0,248.91,field
26.8166,9092,0,626,0,241.9485,field
25.3832,9120,117,37,2,227.8203,field
25.5308,9096,9,4,0,244.1447,field
25.7866,9896,1,0,0,246.9712,field
26.0214,9906,0,0,0,247.9476,field
25.7529,9998,0,0,0,248.6679,field
26.2766,9725,0,148,0,244.4793,field
26.2333,9927,0,0,0,242.7633,field
25.8277,9951,0,0,0,226.5883,field
28.9686,9332,0,97,378,233.8054,field
26.4862,9851,6,4,4,241.5442,field
26.0951,9809,0,24,0,233.5513,field
25.722,9643,0,0,0,248.8071,field
25.8502,9583,0,11,48,245.3736,field
25.7692,9927,0,15,0,246.431,field
25.4339,9515,46,4,0,238.3687,field
25.7368,9410,6,0,0,244.4654,field
25.838,9885,0,0,0,245.0852,field
25.8802,9907,6,0,0,246.8223,field
25.594,9996,0,0,0,247.8368,field
25.6921,8777,0,8,55,221.1013,field
26.3567,9944,0,6,0,241.4059,field
29.5581,9392,0,31,455,227.9555,field
27.0066,9433,48,16,54,232.18,field
26.9635,9206,1,550,0,237.636,field
25.2593,9607,10,20,0,236.9271,field
25.6498,10000,0,0,0,238.3486,field
26.0976,9866,0,5,0,245.9145,field
25.3505,9384,397,0,0,232.2365,field
25.8397,9866,0,42,0,228.0228,field
25.9412,9437,0,118,0,238.4828,field
25.5804,8780,0,10,35,223.1382,field
26.4264,9793,7,0,0,247.5001,field
28.8372,9491,0,25,358,229.2308,field
26.1892,9511,34,18,17,236.2985,field
27.7617,8777,0,993,0,237.9647,field
25.5042,9621,18,11,0,238.4344,field
25.6252,9976,0,0,0,238.9772,field
28.7847,9338,42,129,150,229.3776,field
29.3714,9078,82,172,349,215.4555,field
26.1785,9714,0,197,0,227.6566,field
25.9629,9795,0,17,0,238.8846,field
26.0789,9308,0,359,22,245.8635,field
26.378,9838,3,35,0,234.7388,field
25.3483,9791,2,0,0,249.3062,field
26.4394,8954,0,662,0,237.1735,field
26.076,9408,0,103,0,238.7343,field
25.5783,9656,15,92,0,248.464,field
25.0446,9927,0,0,0,248.0386,field
24.7763,9641,2,0,0,238.2902,field
24.4202,9131,0,0,0,242.2508,field
24.8286,9929,0,0,0,250.0004,field
24.8669,9614,0,0,0,248.6003,field
24.9426,9588,22,0,0,249.4288,field
26.4594,9746,0,8,0,229.7513,field
25.988,9618,0,213,16,247.2578,field
25.413,9890,0,0,0,250.1202,field
25.9664,9184,0,358,0,242.5674,field
31.0341,8911,13,173,569,225.9584,field
25.2253,9906,1,1,0,250.1983,field
24.7975,9985,0,0,0,250.4285,field
24.8891,9624,1,0,0,233.9648,field
24.4931,9118,0,0,0,240.441,field
24.8534,9984,0,0,0,250.7059,field
25.1247,9704,0,0,0,248.7766,field
26.7129,9698,9,129,0,240.3214,field
24.9528,9818,1,0,0,251.8968,field
25.4942,9456,2,0,0,246.1699,field
25.5795,9985,0,0,0,237.6292,field
25.625,9794,0,0,0,245.6835,field
24.6678,8868,9,0,0,242.7154,field
25.5063,9633,9,201,0,241.1735,field
25.2164,9731,0,27,1,244.9295,field
25.6076,9677,0,98,39,244.3142,field
25.0094,9586,4,3,0,248.0372,field
24.7739,9789,0,0,0,247.4112,field
26.103,9864,0,0,0,243.128,field
26.7776,9238,0,440,0,231.4107,field
25.3602,9254,0,317,0,249.1785,field
25.3036,9171,0,206,0,247.5162,field
25.1851,9918,0,0,0,251.1563,field
25.5494,9776,0,71,0,248.1205,field
25.5657,9563,113,10,30,244.8273,field
25.7965,9589,5,237,0,245.5775,field
25.2931,9969,0,0,0,238.2221,field
32.9163,8455,12,251,821,212.937,field
25.2849,9598,0,123,0,249.6561,field
46.471,688,18,6868,552,160.8874,forest
45.7984,703,0,7888,14,163.7396,forest
46.7626,669,5,7607,20,154.9976,forest
59.7068,688,5,3552,1078,117.6594,forest
71.2497,201,1,2136,1926,82.4587,forest
55.5378,472,0,4284,383,116.5297,forest
58.3108,335,16,3445,507,98.1464,forest
67.504,220,0,2759,1796,85.5189,forest
70.5881,169,3,2639,2499,87.1324,forest
55.9722,468,26,4671,768,99.1125,forest
49.7257,229,5,7602,307,131.1929,forest
47.787,242,13,7638,58,125.4441,forest
37.883,917,1,7275,0,211.9791,forest
45.9695,188,4,8268,9,148.9286,forest
40.812,591,15,8319,4,161.6021,forest
36.6658,2430,16,4995,181,178.7639,forest
37.5379,1285,11,6176,74,186.276,forest
35.7111,2472,5,5857,0,191.7377,forest
36.5726,1610,172,5817,18,178.5032,forest
37.5367,1816,109,6025,31,161.332,forest
34.4643,2661,85,4995,7,167.8235,forest
35.6734,2147,236,5254,88,159.922,forest
44.9888,477,3,8783,31,158.347,forest
42.6235,575,0,8227,4,155.0416,forest
48.9365,250,0,6983,42,138.1116,forest
43.8966,664,3,8370,6,164.7819,forest
44.5947,253,1,8859,20,161.2923,forest
43.0467,537,4,8544,74,164.5536,forest
42.3113,678,3,8372,0,168.9949,forest
47.1576,693,5,6705,70,103.0493,forest
41.7026,1406,0,7461,4,164.2169,forest
45.1683,478,14,7786,8,146.5718,forest
45.4096,499,3,7391,8,145.6416,forest
52.1226,153,2,7281,740,121.5128,forest
47.0827,117,31,8395,11,136.5749,forest
44.5334,474,0,7993,0,154.2589,forest
48.431,793,91,7085,729,134.2728,forest
42.5686,672,1,8504,79,181.4537,forest
46.3043,298,27,8414,479,159.7598,forest
37.0188,1704,21,5450,34,149.0156,forest
37.4964,1553,39,6199,5,159.3535,forest
34.3514,2066,34,5357,1,164.1169,forest
33.2064,2682,50,4501,3,175.1114,forest
37.2755,1619,96,6106,41,140.7073,forest
34.108,1712,64,4950,2,146.7172,forest
34.9342,2073,93,5401,3,143.5575,forest
52.2774,321,32,6722,848,123.0188,forest
38.698,1560,19,5931,0,113.2524,forest
37.649,1510,46,6480,0,144.4023,forest
34.23,1551,39,5032,7,149.8024,forest
35.7157,1989,30,5496,5,146.2083,forest
39.058,1679,46,5952,12,117.342,forest
36.0264,1883,47,5376,21,154.2334,forest
40.5328,1674,429,4070,114,99.1075,forest
37.2685,1950,292,3996,34,112.9901,forest
39.6685,2117,111,4679,64,126.6385,forest
34.2555,2013,28,5171,9,169.8793,forest
47.0015,255,7,8091,4,156.3916,forest
36.7575,1509,64,6139,1,167.862,forest
38.8574,1538,176,5130,286,145.8248,forest
34.6726,1705,195,4027,28,149.6472,forest
40.9319,1337,143,5618,21,118.0792,forest
35.1207,1694,263,4477,22,147.1219,forest
41.2437,1266,380,4819,225,110.7459,forest
35.8848,1626,48,5947,4,169.2534,forest
36.0382,1776,225,4831,45,147.34,forest
54.25,1042,282,3575,1102,74.3665,forest
42.179,1463,181,4920,248,123.0309,forest
42.6543,880,55,7836,16,158.8716,forest
29.3787,2455,276,3486,0,185.438,forest
27.7444,2359,689,3066,0,196.5601,forest
35.9487,1671,1,6006,0,160.8541,forest
43.6731,1859,114,4142,734,121.5459,forest
34.1567,2166,56,5126,2,166.3412,forest
36.6757,1583,31,6278,6,168.4725,forest
35.5845,1613,31,6046,1,171.0753,forest
37.6758,1818,46,5319,11,141.9676,forest
38.3762,1382,102,6020,10,148.3936,forest
36.0488,1984,44,5142,11,149.2804,forest
44.5957,394,4,8261,0,153.3015,forest
34.4025,2034,1,5293,0,166.4653,forest
31.9359,3685,33,3903,1,189.1729,forest
36.4042,1619,7,6020,16,160.0249,forest
43.1017,519,0,8684,0,175.4053,forest
43.3264,206,0,8872,0,171.6878,forest
44.902,192,2,8370,10,155.0949,forest
41.1603,542,0,8271,0,184.4379,forest
42.6155,77,0,9251,0,200.8792,forest
40.3274,889,289,7598,0,153.831,forest
45.0469,393,5,8971,20,162.4552,forest
43.5978,442,0,8404,0,154.2514,forest
44.4064,473,2,8407,0,160.5689,forest
44.7513,299,0,8923,2,162.1568,forest
43.0425,368,0,8597,0,169.0677,forest
42.4063,419,4,8874,0,174.6475,forest
47.7183,549,27,6475,30,101.0169,forest
47.9329,157,19,7743,9,146.7099,forest
42.7826,693,0,8383,0,170.4984,forest
42.5664,520,0,8459,0,169.7434,forest
44.2176,667,3,8093,363,176.8818,forest
41.1897,707,11,8346,0,195.4403,forest
45.1632,665,72,7811,328,148.6301,forest
45.4601,558,2,8626,4,131.919,forest
44.07,274,1,8813,2,151.193,forest
42.3767,694,1,8348,25,160.8395,forest
43.5667,936,3,7710,0,151.6218,forest
42.0153,1220,1,6991,1,131.8296,forest
44.3534,487,5,8023,3,152.8247,forest
42.9845,631,3,8272,1,120.3453,forest
45.2555,679,3,6571,4,107.6979,forest
44.9447,452,7,8569,15,152.8117,forest
45.5446,508,4,8378,11,134.0442,forest
42.3372,687,4,8385,1,160.5734,forest
43.6966,918,1,7777,0,151.786,forest
41.4458,1219,5,6994,2,137.2181,forest
43.13,488,0,8601,2,121.163,forest
45.0881,722,15,6911,10,110.105,forest
50.0992,352,9,5797,100,106.5015,forest
47.5901,80,9,7845,5,135.1345,forest
47.3049,148,13,8257,21,123.5159,forest
45.4783,705,60,6498,30,120.9465,forest
44.9067,627,18,7851,117,164.9984,forest
46.3964,729,4,7599,20,151.5862,forest
43.5751,1015,14,7283,3,146.501,forest
45.114,625,50,7828,258,163.6672,forest
57.4451,798,27,2987,539,89.4063,forest
60.7189,188,13,3871,1100,90.0953,forest
58.3578,269,26,4508,609,93.6726,forest
51.1718,114,42,6724,266,113.7018,forest
46.811,415,0,8026,0,156.027,forest
48.1995,429,3,6339,27,110.5785,forest
45.1121,165,5,8969,36,139.2057,forest
43.9171,610,3,7452,1,143.5596,forest
43.8591,600,17,8188,72,166.1498,forest
45.342,658,0,7994,0,159.993,forest
42.3699,1059,0,7550,0,156.0473,forest
44.0781,564,22,7882,169,173.136,forest
54.317,1260,6,3217,142,100.3365,forest
56.393,300,23,4465,494,93.6643,forest
52.4616,293,15,5877,104,102.9687,forest
41.7023,1051,9,7764,6,169.8554,forest
53.3768,324,51,7026,1328,119.2076,forest
42.6175,1453,3,7034,16,165.4764,forest
46.1544,530,30,7113,53,139.8174,forest
46.5723,524,13,7024,20,146.8955,forest
48.2182,86,11,7919,22,132.5912,forest
47.4963,136,21,8320,11,141.3954,forest
44.7482,300,51,8295,41,151.0839,forest
43.195,545,13,8675,45,182.2102,forest
48.5608,255,14,8147,711,164.6947,forest
43.2049,1132,33,7101,47,145.5654,forest
43.4854,466,0,8447,4,164.4021,forest
42.6456,594,27,7870,6,153.4217,forest
43.6343,964,3,7872,6,161.0756,forest
42.716,575,15,8312,7,157.0059,forest
42.0855,757,12,8032,9,150.5162,forest
43.8636,736,0,7414,0,174.4854,forest
56.3188,885,40,5987,1841,146.4771,forest
45.1958,713,232,5700,37,128.024,forest
47.3953,346,10,6516,11,127.1351,forest
48.5813,637,43,6164,85,117.7344,forest
42.9895,512,2,8147,0,153.6213,forest
46.302,885,22,7036,368,154.6806,forest
42.6039,541,3,8041,13,148.7619,forest
47.197,673,11,6494,117,152.2972,forest
54.6443,374,1,3929,385,100.3462,forest
50.6915,655,3,6381,500,131.691,forest
51.8699,406,82,5707,299,99.305,forest
52.6586,443,46,4680,368,101.9059,forest
54.3321,583,41,3996,504,95.3958,forest
48.48,643,32,6414,444,124.7844,forest
45.9265,394,21,8123,392,152.9285,forest
43.0453,533,15,8308,3,147.2565,forest
43.7199,3881,1251,728,288,102.029,mine
25.7025,4330,916,363,34,135.3815,mine
43.2966,3546,1223,362,1271,121.3215,mine
33.9314,4936,685,576,57,86.148,mine
28.2554,3870,1050,576,132,128.3083,mine
40.8881,3203,1900,457,467,114.2649,mine
49.8799,2517,2326,265,613,96.941,mine
50.2222,3100,1857,258,527,84.6755,mine
50.9921,2846,2021,352,1346,100.3261,mine
31.863,3651,1699,418,197,125.7605,mine
46.1003,2655,2203,265,374,100.7239,mine
50.5143,3398,1458,148,398,91.7733,mine
28.5516,3724,1270,276,39,136.9438,mine
46.3897,3109,2155,243,1205,98.4228,mine
41.2407,4229,794,407,183,94.5783,mine
45.6443,2820,1861,497,505,100.2514,mine
40.3827,3196,1671,495,580,114.4101,mine
49.5989,3272,1868,261,1053,77.901,mine
47.5314,2566,2345,497,1723,74.8113,mine
44.7221,3234,1787,405,1338,89.5991,mine
43.4683,3053,2345,297,798,72.4737,mine
48.0268,2664,2096,627,1792,70.655,mine
44.0723,3278,1639,537,1356,100.4098,mine
28.8141,4952,982,714,99,127.6723,mine
58.8209,2529,1642,340,1374,105.952,mine
54.6642,2705,1758,608,2049,89.7475,mine
26.0854,1904,2651,247,46,149.7529,mine
38.7401,4593,800,509,132,97.757,mine
36.633,4114,1225,717,289,112.4511,mine
27.5799,4276,1121,374,62,127.9898,mine
29.4469,3914,1324,286,82,129.0975,mine
28.661,4676,1211,546,89,126.3422,mine
48.6878,3343,1320,316,1279,117.6454,mine
29.927,3802,1099,548,162,122.5633,mine
39.8364,4370,840,430,112,82.2959,mine
97.1407,257,45,199,8809,223.4973,ocean
100.0076,358,49,28,9235,236.5713,ocean
98.9758,58,114,262,9016,226.9012,ocean
85.541,1153,498,109,7436,221.9458,ocean
82.0241,1585,385,168,6901,214.4247,ocean
84.0868,1246,663,70,7048,209.5044,ocean
83.5174,1309,643,127,7018,218.2505,ocean
77.9897,1368,397,162,6540,208.6357,ocean
86.0739,1143,679,93,7285,207.0167,ocean
88.974,1157,626,71,7651,216.9786,ocean
88.0649,1176,629,55,7386,212.4801,ocean
87.9735,1292,684,62,7505,215.2114,ocean
87.2186,1112,785,61,7329,202.9206,ocean
98.2168,161,58,50,8990,210.8035,ocean
82.6535,1118,735,88,6903,211.4264,ocean
84.022,1052,737,64,7113,214.3917,ocean
91.9393,1120,465,66,7854,214.9419,ocean
89.0308,1216,518,297,7353,192.4066,ocean
93.0065,1201,349,185,7569,187.862,ocean
80.3566,1658,239,135,6938,210.6735,ocean
85.4744,1056,750,125,7176,206.3982,ocean
87.7579,1032,596,70,7469,212.8823,ocean
83.7394,902,853,34,6822,208.3993,ocean
81.095,941,982,42,6864,211.0462,ocean
102.7092,69,47,39,9554,222.3056,ocean
87.3832,723,805,40,7494,219.8912,ocean
84.3113,1253,454,171,7293,196.5119,ocean
82.3692,1553,468,189,7005,216.805,ocean
85.5169,1161,452,100,7495,219.6327,ocean
82.8431,1511,364,110,7065,213.827,ocean
79.3837,1689,477,176,6689,190.8497,ocean
82.6464,1357,245,139,7198,211.4743,ocean
83.0484,1532,291,93,7091,205.165,ocean
75.4386,1246,434,98,6207,191.71,ocean
81.0041,1224,389,675,6753,206.9527,ocean
101.2657,29,176,41,9398,215.4537,ocean
103.0375,17,5,8,9770,230.5078,ocean
98.5506,164,53,82,9226,221.7454,ocean
97.4532,196,27,50,8911,234.2286,ocean
100.6551,226,28,300,9221,220.7125,ocean
101.0812,264,50,38,9351,227.7644,ocean
101.2189,119,87,16,9387,220.492,ocean
100.7328,90,0,103,9371,242.2599,ocean
103.0042,75,0,213,9454,234.0772,ocean
96.2169,72,50,31,8715,222.1179,ocean
94.479,44,43,31,8577,227.5841,ocean
100.627,219,48,47,9367,230.3826,ocean
100.9203,163,28,212,9200,212.4242,ocean
98.1525,253,14,557,8945,222.3614,ocean
99.7991,214,51,68,9281,226.2373,ocean
93.1829,93,36,14,8462,226.4985,ocean
90.8919,283,49,27,8171,223.9839,ocean
101.3357,662,0,19,9157,245.8488,ocean
97.9232,239,89,183,8887,224.6318,ocean
107.3556,37,0,77,9830,246.3721,ocean
105.7479,69,80,27,9582,235.3827,ocean
109.2764,0,0,0,10000,249.6551,ocean
106.3846,160,0,12,9760,248.3826,ocean
108.6764,0,0,0,10000,250.5408,ocean
102.5266,519,2,14,9328,243.5992,ocean
107.0373,47,3,117,9767,245.1592,ocean
104.8036,179,111,58,9352,216.5581,ocean
109.1148,0,0,0,10000,250.3921,ocean
102.5539,571,0,37,9335,247.1954,ocean
102.941,77,28,8,9613,221.4959,ocean
108.4107,0,0,0,10000,251.5723,ocean
97.7838,312,89,326,8788,234.0688,ocean
94.9206,204,47,73,8572,229.8626,ocean
102.2565,248,0,6,9447,242.899,ocean
105.9728,127,0,21,9726,245.4618,ocean
104.9233,92,55,85,9524,239.0951,ocean
106.6368,107,0,56,9800,247.1355,ocean
107.6523,3,0,1,9994,251.4361,ocean
105.0343,52,68,18,9661,239.9412,ocean
95.0408,12,134,117,8377,223.4899,ocean
103.0385,20,101,26,9655,221.2153,ocean
104.2851,58,187,7,9181,230.7439,ocean
107.989,0,0,0,10000,252.0573,ocean
107.8204,1,0,0,9996,248.2881,ocean
97.6811,22,137,141,8632,224.8473,ocean
